title,author,price
 SQL即查即用（全彩版）数据库入门经典,明日科技(Mingri Soft),¥48.80
 零基础入门学习Python（第2版）-微课视频版,小甲鱼,¥44.50
 Effective Modern C++中文版,[美]Scott Meyers（斯科特·迈耶）,¥44.50
 智能硬件项目教程——基于Arduino（第2版）,中国电子学会 上海享渔教育科技有限公司,¥32.50
 CG造型基础与创作·入门篇,Victor cloux陈威,¥112.10
 人工智能AI摄影与后期修图从小白到高手：Midjourney+Photoshop,龙飞 著,¥96.00
 数据分析师手记——数据分析72个核心问题精解,刘林、李朝成、饼干哥哥,¥54.50
 SQL基础教程 第2版,[日]MICK,¥39.50
 PyTorch深度学习实战,[美]伊莱·史蒂文斯,¥59.90
 C++20高级编程(第5版),[比]马克·格雷戈勒（Marc Gregoire） 著 程序喵大人 惠惠 墨梵 译,¥114.00
 剪映短视频剪辑从入门到精通（手机版+电脑版）手机短视频剪辑 特效制作 剪映案例教程 抖音快手小红书B站视频剪辑 pr a,新镜界,¥88.00
 中文版Photoshop 2023入门教程,李金明 李金蓉,¥58.60
 深入浅出 WPF,刘铁猛,¥21.60
 算法(第4版),[美]Robert,¥64.90
 零基础玩转iPad数码水彩,V脸喵,¥44.00
 CANoe开发从入门到精通,杨金升、张可晨、唐新宇,¥44.50
 Python深度学习（第2版）,[美] 弗朗索瓦·肖莱（Franc?ois Chollet）,¥64.90
 Qt 6 C++开发指南,王维波,¥139.80
 跟李锐学Excel数据分析,李锐,¥39.90
 AI降临：ChatGPT实战与商业变现,张永刚、杜一凡、欧阳军 编著,¥49.00
 wps office办公应用从入门到精通 WPS官方推荐完全自学教程 word ppt excel 函数与公式 办公软件,IT 新时代教育,¥66.30
 思维导图学C++趣味编程,方其桂 等 著,¥49.50
 UNIX环境高级编程 第3版,[美]W. 理查德·史蒂文斯（W. Richard Stevens）史蒂芬·A.,¥84.50
 Python编程快速上手 让繁琐工作自动化 第2版,[美]阿尔·斯维加特（Al Sweigart）,¥87.20
 30天精学Excel 从菜鸟到数据分析高手,金桥 周奎奎,¥34.50
 动手学机器学习,张伟楠 赵寒烨 俞勇,¥88.00
 代码整洁之道,[美] 罗伯特·C. 马丁,¥49.50
 深入理解LINUX内核（第三版）,[美]博韦，西斯特,¥44.10
 完全图解服务器工作原理 服务器入门图书 计算机科普书 服务器原理 服务器与系统架构 高性能服务器编程 服务器架设实战 服,西村泰洋,¥66.30
 Vue.js设计与实现,霍春阳（HcySunYang）,¥59.90
 AUTOSAR规范与车用控制器软件开发,宋珂、王民、单忠伟、谭杨 编著,¥39.00
 精益数据分析 珍藏版,[加] 阿利斯泰尔·克罗尔 （Alistair Croll）[加] 本杰明·尤科维奇（Benjamin Yoskovitz）,¥59.90
 Python GUI设计PyQt5从入门到实践（Qt5编程入门 数据可视化 Python3全彩版）,明日科技 王小科 李艳,¥96.00
 数据分析思维：分析方法和业务知识,猴子·数据分析学院,¥49.50
 R语言临床预测模型实战（新时代·技术新未来）,彭献镇,¥84.00
 图解TCP/IP网络知识轻松入门,日本Ank软件技术公司 著,¥39.90
 PLC结构化文本编程一本通,赵春生 主编,¥49.50
 Head First设计模式（第二版）,[美]埃里克·弗里曼（Eric Freeman） [美]伊丽莎白·罗布森（Elisabeth Robson）著,¥121.60
 C#从入门到精通（第6版）,明日科技,¥49.90
 短视频文案：创意策划、写作技巧和视觉优化,王小亦 著,¥29.50
 剪映教程：3天成为短视频与Vlog剪辑高手,龙飞,¥34.50
 知行：技术人的管理之路（第2版）,刘建国,¥44.90
 图神经网络：基础、前沿与应用,吴凌飞 崔鹏 裴健 赵亮,¥175.20
 运筹优化常用模型、算法及案例实战——Python+Java实现,刘兴禄、熊望祺、臧永森、段宏达、曾文佳、陈伟坚,¥64.00
 机器学习方法,李航,¥69.00
 Python编程入门与算法进阶,中国电子学会,¥49.50
 大疆TT教育无人机从入门到精通,蔡冬冬 胡波,¥49.50
 ANSYS Maxwell+Workbench 2021 电机多物理场耦合有限元分析从入门到工程实战,刘慧娟、张振洋、宋腾飞 等 编著,¥49.50
 电脑组装与维修一本通,博蓄诚品 编著,¥39.50
 Python3网络爬虫开发实战 第2版,崔庆才,¥69.90
 算法竞赛入门到进阶 ACM-ICPC、CCPC、中学NOI竞赛培训指南与知识点详解（附精讲视频）,罗勇军、郭卫斌,¥29.90
 中文版solidworks2022从入门到精通完全自学教程 实战案例+视频教学 机械设计 工程图设计 零件与装配体设计,天工在线,¥88.00
 中文版 Cinema 4D R25 从入门到精通（微课视频全彩版唯美世界）C4D书籍教材新印象 c4d r25 c4d教,唯美世界曹茂鹏,¥94.80
 深入浅出Python量化交易实战,段小手,¥49.50
 科研论文配图绘制指南 基于Python,宁海涛,¥54.90
 ChatGPT使用指南：人人都应该掌握的AI最强工具 ai应用aigc智能经济chatGPTai革命ai未来进行式书籍,苏江 著,¥47.50
 架构师修炼之道,Michael Keeling,¥47.90
 机器学习在算法交易中的应用（第2版）人工智能丛书 动手学深度学习强化学习 深入浅出python算法交易实战 量化交易 算,斯蒂芬·詹森（Stefan Jansen）,¥154.80
 图解HTTP,[日]上野 宣 著,¥29.90
 Visual C#从入门到精通（第10版）,[英] 约翰·夏普（John Sharp）著 周靖 译,¥94.50
 C++ Primer Plus 第6版 中文版习题解答,[美] 史蒂芬,¥89.00
 手把手教你学51单片机——C语言版（第2版）,宋雪松,¥39.50
 Excel表格制作与数据分析从入门到精通（微课视频版 高效办公）办公软件 数据处理与分析 函数与公式 vba excel,精英资讯,¥85.30
 青少年信息学竞赛,刘洪、杨娟、徐勇,¥34.90
 Python从入门到实践（全彩版）,明日科技 王国辉 陈佩峰,¥88.00
 Arduino编程与硬件实现,樊胜民，樊攀，张淑慧 编,¥24.00
 循序渐进Vue.js 3前端开发实战,张益珲,¥39.90
 统计至简（概率统计全彩图解 + 微课 + Python编程）,姜伟生,¥129.00
 深入浅出通信原理,陈爱军,¥44.50
 图解TCP/IP：第5版【原版畅销36万册！268张图解轻松入门】,"(日)竹下隆史,等",¥34.50
 Linux高性能网络详解：从DPDK、RDMA到XDP,刘伟,¥59.40
 程序员数学 用Python学透线性代数和微积分,[美]保罗·奥兰德（Paul Orland）,¥64.90
 Simulink仿真及代码生成技术入门到精通,孙忠潇 编著,¥34.50
 TypeScript编程,[美]鲍里斯切尔尼,¥39.60
 从0到1 SQL即学即用,莫振杰,¥49.90
 名师讲科技前沿系列--图解芯片技术,田民波 编著,¥24.50
 FPGA时序约束与分析,吴厚航,¥34.50
 调色全面精通：配色方法+照片调色+视频调色+电影调色,周玉姣,¥39.90
 ACM国际大学生程序设计竞赛：知识与入门,俞勇 主编,¥17.50
 大象——Thinking in UML（第二版）,谭云杰 著,¥32.60
 完全图解云计算云服务工作原理 通信技术计算机科普书 分布式服务 云计算概念入门 云服务器架构 云计算安全 云计算与大数据,西村泰洋,¥66.30
 OpenCV 4.5计算机视觉开发实战：基于Python,朱文伟 李建英,¥39.50
 HuggingFace自然语言处理详解——基于BERT中文模型的任务实战,李福林,¥34.50
 动画视频+全彩图解 道路交通标志标线大全,郭建英 编,¥67.60
 Head First Java 实战（第三版）,"[美]凯西·希拉（Kathy Sierra）,[美]伯特·贝茨（Bert Bates）,[英]特丽莎·吉（Trisha Gee）",¥121.60
 Java从入门到精通（第7版）,明日科技,¥44.90
 Python编程实战100例 100个编程实例 1390分钟视频讲解 核心编程应用 项目开发 python进阶 pyth,张晓,¥88.00
 中文版 ANSYS Fluent 2022流体分析从入门到精通（实战案例版）流体计算ansys fluent数值计算方法,天工在线,¥88.00
 Kali Linux渗透测试技术详解,杨波,¥29.90
 学习C++20（中文版）,[美]保罗·J.戴特尔（Paul J. Deitel）[美] 哈维·M.戴特尔（Harvey M. Deitel）著 周靖 译,¥119.00
